chapter,word,translate,phonetic,example,example_translate
C10,demand,"n. 需求；要求；
v. 要求；需求；",dɪˈmɑːnd,The demand for clean water is increasing.,对清洁水的需求正在增加。
C10,customer,n. 客户；顾客；主顾；,ˈkʌstəmə(r),The customer bought a new phone.,这位客户买了一部新手机。
C10,regulation,n. 管理；条例；规则；,ˌreɡjuˈleɪʃ(ə)n,The government made a new regulation to control pollution.,政府出台了一项新管理措施来控制污染。
C10,project,"n. 计划；方案；项目；课题；
v. 投射；预计；",ˈprɒdʒekt,He presented his school project to the class.,他向全班展示了他的学校计划。
C10,flexible,adj. 灵活的；柔韧的；,ˈfleksəb(ə)l,She is flexible with her schedule.,她的日程安排很灵活。
C10,leadership,n. 领导才能；领导地位；,ˈliːdəʃɪp,His leadership helped the team win the match.,他的领导才能帮助团队赢得了比赛。
C10,women,n. 妇女；女人；“woman”的复数；,ˈwɪmɪn,Women work hard in every field.,妇女在各个领域都努力工作。
C10,self-employed,adj. 自己经营的；个体经营的；非受雇于人的,ˌself ɪmˈplɔɪd,He is self-employed and works from home.,他是自由职业者，在家工作。
C10,achievement,n. 成就；成绩；完成；,əˈtʃiːvmənt,He felt proud of his academic achievement.,他为自己的学业成就感到自豪。
C10,personality,n. 个性；人格；,ˌpɜːsəˈnæləti,His personality is very friendly and outgoing.,他的个性非常友好和外向。
C10,character,n. 性格；人物角色；特点；,ˈkærəktə(r),His character is kind and patient.,他的性格善良且有耐心。
C10,situational,adj. 情景的,ˌsɪtʃuˈeɪʃən(ə)l,He gave a situational answer to the question.,他对这个问题给出了一个情境相关的回答。
C10,friend,n. 朋友,frend,He is my friend.,他是我的朋友。
C10,aspiration,n. 渴望；,ˌæspəˈreɪʃ(ə)n,His aspiration is to become a doctor.,他的渴望是成为一名医生。
C10,ambition,n. 野心；雄心；抱负；,æmˈbɪʃ(ə)n,His ambition is to become a president.,他的野心是成为总统。
C10,style,n. 风格；方式；样式；文体；,staɪl,Her dress has a unique style.,她的裙子有一种独特的风格。
C10,development,n. 发展；开发；,dɪˈveləpmənt,The development of the town took many years.,这个小镇的发展花了许多年。
C10,vision,n. 想象；视力；视野；,ˈvɪʒ(ə)n,He has a vision of a world without war.,他想象一个没有战争的世界。
C10,structure,"n. 结构；建筑物；
v. 组织；",ˈstrʌktʃə(r),The structure of the bridge is very strong.,这座桥的结构非常坚固。
C10,innovation,n. 创新；,ˌɪnəˈveɪʃ(ə)n,The company values innovation in its products.,这家公司重视产品的创新。
C10,metal,n. 金属,ˈmet(ə)l,He found a piece of metal in the garden.,他在花园里发现了一块金属。
C10,space,"n. 空间；太空；空格；
v. 以一定间隔排列；",speɪs,The room has enough space for a bed and a desk.,这个房间有足够的空间放一张床和一张书桌。
C10,memory,n. 记忆力；回忆；,ˈmeməri,His memory is very good; he remembers everything.,他的记忆力很好；他什么都记得。
C10,solar,adj. 太阳的；太阳能的；,ˈsəʊlə(r),The solar panel collects energy from the sun.,太阳能板从太阳收集能量。
C10,oil,n. 油；石油；,ɔɪl,She put oil on the pan before cooking.,她在锅里倒了油再做饭。
C10,waste,"n. 垃圾；废物；浪费；
v. 浪费；白费；糟蹋；
adj. 荒芜的；废弃的；",weɪst,The children threw waste into the bin.,孩子们把垃圾扔进了垃圾桶。
C10,test,"n. 试验；测验；
v. 试验；测试；",test,The scientist ran a test to see if the drug works.,科学家进行了一次试验，以查看这种药物是否有效。
C11,conservation,n. 保护；节约（自然资源）；,ˌkɒnsəˈveɪʃ(ə)n,The park is for the conservation of wild animals.,这个公园是为了保护野生动物。
C11,food,n. 食物,fuːd,He eats healthy food every day.,他每天吃健康的食物。
C11,surface,"n. 表面；
v. 显露；",ˈsɜːfɪs,The surface of the table is smooth.,桌子的表面很光滑。
C11,oxygen,n. 氧气；,ˈɒksɪdʒən,Plants release oxygen into the air.,植物向空气中释放氧气。
C11,mammal,n. 哺乳动物,ˈmæm(ə)l,A dog is a mammal.,狗是一种哺乳动物。
C11,ice,n. 冰；,aɪs,The lake is covered with ice in winter.,冬天湖面结满了冰。
C11,decline,"n. 下降；衰退；
v. 下降；衰退；",dɪˈklaɪn,There was a sharp decline in sales last month.,上个月销售额大幅下降。
C11,decrease,"n. 减少；
v. 减少；降低；",dɪˈkriːs,There was a decrease in rainfall last month.,上个月降雨量减少了。
C11,map,n. 地图,mæp,He uses a map to find the way.,他用地图找路。
C11,migration,n. 迁移；迁徙；转移；,maɪˈɡreɪʃ(ə)n,Birds begin migration in autumn.,鸟类在秋天开始迁徙。
C11,consumption,n. 消耗；消费；,kənˈsʌmpʃ(ə)n,The consumption of water has increased this year.,今年水的消耗量增加了。
C11,social,adj. 社会的；社交的；,ˈsəʊʃ(ə)l,Social problems affect many families.,社会问题影响许多家庭。
C11,factory,n. 工厂；制造厂；,ˈfæktəri,The factory makes cars.,这家工厂生产汽车。
C11,canal,n. 运河；沟渠；,kəˈnæl,The boat travels through the canal.,船通过运河航行。
C11,bridge,n. 桥；桥梁；,brɪdʒ,The bridge crosses the river.,这座桥横跨河流。
C11,box,n. 箱子；盒子；,bɒks,He put the books in a box.,他把书放进了一个箱子里。
C11,screen,"n. 屏幕；屏风；掩蔽物；
v. 筛查；掩蔽；",skriːn,The movie is playing on the screen.,电影正在屏幕上播放。
C11,rubber,n. 橡胶；,ˈrʌbə(r),The boy picked up a piece of rubber from the floor.,男孩从地上捡起一块橡胶。
C11,curved,adj. 呈弯曲状的；弧形的； v. （使）弯成弧形；“curve”的过去式和过去分词；,kɜːvd,The road is curved around the hill.,这条路沿着山呈弯曲状。
C11,curtain,n. 帷幕；窗帘；,ˈkɜːt(ə)n,She pulled the curtain to block the sunlight.,她拉上帷幕以挡住阳光。
C11,international,adj. 国际的,ˌɪntəˈnæʃnəl,He works for an international company.,他在一家国际公司工作。
C11,number,n. 数字；号码；,ˈnʌmbə(r),The number on the door is 5.,门上的数字是5。
C11,time,"n. 时间；时期；次数；
v. 计时；安排时间；",taɪm,I don't have time to finish my homework.,我没有时间完成作业。
C11,software,n. 软件,ˈsɒftweə(r),He uses software to write his homework.,他使用软件写作业。
C11,patient,"n. 病人；
adj. 有耐心的；",ˈpeɪʃ(ə)nt,The doctor helped the patient feel better.,医生帮助病人感觉好些了。
C11,emotion,n. 情绪；情感；,ɪˈməʊʃ(ə)n,He showed strong emotion when he heard the news.,当他听到这个消息时，表现出了强烈的情绪。
C11,feeling,n. 感觉； v. 感到；“feel”的现在分词；,ˈfiːlɪŋ,I have a feeling it will rain tomorrow.,我感觉明天会下雨。
C11,income,n. 收入；收益；所得；,ˈɪnkʌm,His income is enough to pay for rent and food.,他的收入足以支付房租和食物。
C11,comfortable,adj. 舒适的；安逸的；,ˈkʌmfətəb(ə)l,This chair is very comfortable.,这把椅子非常舒适。
C11,observation,n. 观察；观测；注意；监视；(观察后的）意见；,ˌɒbzəˈveɪʃ(ə)n,The scientist made an observation about the bird's behavior.,科学家对这只鸟的行为进行了观察。
C11,analysis,n. 分析,əˈnæləsɪs,He did an analysis of the data.,他对数据进行了分析。
C11,dry,"adj. 干的；
v. 变干；",draɪ,The cloth is dry after the sun.,这块布在阳光下晒干了。
C11,hard,"adj. 困难的；坚硬的；费劲的；
adv. 努力地；",hɑːd,This math problem is hard.,这个数学题很难。
C11,sugar,n. 糖；食糖；,ˈʃʊɡə(r),He put sugar in his tea.,他把糖放进茶里。
C11,root,"n. 根；根源；
v. 生根；",ruːt,The root of 9 is 3.,9的平方根是3。
C11,moist,adj. 潮湿的；湿润的；,mɔɪst,The soil is moist after the rain.,雨后土壤是潮湿的。
C11,damp,adj. 潮湿的；,dæmp,The ground is damp after the rain.,雨后地面是潮湿的。
C11,wet,adj. 湿的；,wet,The ground is wet after the rain.,雨后地面是湿的。
C11,variety,n. （同一事物）不同种类；多样性；（动植物的）品种；变化；,vəˈraɪəti,The store sells a variety of apples.,这家商店出售各种各样的苹果。
C11,cattle,n. 牛；牛（复数名词）；,ˈkæt(ə)l,The farmer feeds his cattle every morning.,农夫每天早上喂他的牛。
C11,garden,n. 花园；,ˈɡɑːd(ə)n,She plants flowers in her garden.,她在花园里种花。
C11,grass,n. 草；草地；,ɡrɑːs,The children play on the grass after school.,孩子们放学后在草地上玩耍。
C11,payment,n. 支付；报酬；,ˈpeɪmənt,He made the payment online.,他在线支付了。
C11,money,n. 钱；金钱；,ˈmʌni,He saved money to buy a bike.,他存钱买一辆自行车。
C12,damage,"n. 损害；破损；
v. 损害；破坏；",ˈdæmɪdʒ,The storm caused serious damage to the house.,风暴对房屋造成了严重损害。
C12,side effect,phrase. 副作用,ˈsaɪd ɪfekt,The medicine has a side effect of dizziness.,这种药有头晕的副作用。
C12,bridge,n. 桥；桥梁；,brɪdʒ,The bridge crosses the river.,这座桥横跨河流。
C12,confusion,n. 困惑；混乱；混淆；,kənˈfjuːʒ(ə)n,He felt confusion when the teacher gave a strange question.,当老师提出一个奇怪的问题时，他感到困惑。
C12,smartphone,n. 智能手机,ˈsmɑːtfəʊn,He uses a smartphone to call his friend.,他用智能手机给朋友打电话。
C12,resource,n. 资源；,rɪˈsɔːs,The school needs more resources for students.,学校需要为学生提供更多的资源。
C12,unnecessary,adj. 不必要的；,ʌnˈnesəsəri,It is unnecessary to bring an umbrella today.,今天带伞是不必要的。
C12,chocolate bar,n. 巧克力棒；巧克力条,ˈtʃɒklət ˈbɑː(r),He ate a chocolate bar after lunch.,他午饭后吃了一块巧克力棒。
C12,problem,n. 难题；问题；,ˈprɒbləm,This math problem is very hard.,这道数学难题很难。
C12,market share,phrase. 市场交易额；市场份额；市场占有率,ˌmɑːkɪt ˈʃeə(r),The company increased its market share by lowering prices.,这家公司通过降价增加了市场交易额。
C12,bullying,v. 欺负；“bully”的现在分词；,ˈbʊliɪŋ,He is bullying his little brother.,他正在欺负他的弟弟。
C12,superiority,n. 优越；优势；,suːˌpɪəriˈɒrəti,His superiority in math helped him win the contest.,他在数学上的优越让他赢得了比赛。
C12,personality,n. 个性；人格；,ˌpɜːsəˈnæləti,His personality is very friendly and outgoing.,他的个性非常友好和外向。
C12,structural,adj. 结构（或构造）上的,ˈstrʌktʃərəl,The bridge has a strong structural design.,这座桥有坚固的结构设计。
C12,absence,n. 缺乏；缺席；,ˈæbsəns,His absence of interest made the teacher sad.,他缺乏兴趣让老师感到难过。
C12,vision,n. 想象；视力；视野；,ˈvɪʒ(ə)n,He has a vision of a world without war.,他想象一个没有战争的世界。
C12,democratic,adj. 民主的,ˌdeməˈkrætɪk,He votes in a democratic election.,他在民主选举中投票。
C12,respect,n. 方面；尊重；尊敬,v. 遵从,rɪˈspekt,"In many respects, this new phone is better than the old one.",在许多方面，这部新手机比旧的好。
C12,mediator,n. 调解人；中间人；,ˈmiːdieɪtə(r),The mediator helped the two sides reach an agreement.,调解人帮助双方达成了协议。
C12,insect,n. 昆虫,ˈɪnsekt,The insect flew over the grass.,那只昆虫飞过了草地。
C12,behavior,n. 举止；表现；,bɪˈheɪvjə(r),His behavior at the party was very polite.,他在派对上的举止非常礼貌。
C12,father,n. 父亲；爸爸；,ˈfɑːðə(r),My father cooks breakfast every morning.,我父亲每天早上做早餐。
C12,complex,"adj. 复杂的；
n. 综合楼（群）；",ˈkɒmpleks,The instructions are too complex for children.,这些说明对孩子来说太复杂了。
C12,complicated,adj. 复杂的,ˈkɒmplɪkeɪtɪd,The math problem is complicated.,这个数学问题很复杂。
C12,reproduction,n. 生殖；繁殖；复制；,ˌriːprəˈdʌkʃ(ə)n,The reproduction of rabbits is very fast.,兔子的生殖速度很快。
C12,breeding,n. 繁殖；饲养； v. “breed”的现在分词；,ˈbriːdɪŋ,The farm focuses on cattle breeding.,这个农场专注于牛的繁殖。
C12,control,"n. 控制；管制；
v. 控制；操纵；",kənˈtrəʊl,The teacher has good control of the class.,老师对课堂有很好的控制。
C12,duck,n. 鸭；,dʌk,The duck swims in the pond.,鸭子在池塘里游泳。
C12,language,n. 语言,ˈlæŋɡwɪdʒ,He speaks English as his first language.,他把英语作为第一语言。
C12,food,n. 食物,fuːd,He eats healthy food every day.,他每天吃健康的食物。
C12,cost,"n. 费用；代价；
v. 花费；",kɒst,The cost of the book is ten dollars.,这本书的费用是十美元。
C12,price,n. 价格；代价；,praɪs,The price of bread is too high.,面包的价格太高了。
C12,bill,n. 账单；钞票；议案；,bɪl,I paid the electric bill yesterday.,我昨天付了电费账单。
C12,garden,n. 花园；,ˈɡɑːd(ə)n,She plants flowers in her garden.,她在花园里种花。
C12,political,adj. 政治的；,pəˈlɪtɪk(ə)l,He is interested in political news.,他对政治新闻感兴趣。
C12,work,"n. 工作；活计；作品；制作品；
v. （使）工作；（使）运转；操作；经营；起作用；",wɜːk,He finds his work very meaningful.,他觉得他的工作很有意义。
C12,fountain,n. 喷泉；源泉；,ˈfaʊnt(ə)n,The children play near the fountain in the park.,孩子们在公园的喷泉附近玩耍。
C12,social,adj. 社会的；社交的；,ˈsəʊʃ(ə)l,Social problems affect many families.,社会问题影响许多家庭。
C12,lively,adj. 充满生机的；活泼的；,ˈlaɪvli,The market is lively with people and music.,市场里人来人往，音乐欢快，充满生机。
C12,training,n. 培训；训练；锻炼； v. “train”的现在分词；,ˈtreɪnɪŋ,The company provided free training for new employees.,公司为新员工提供了免费培训。
C12,culture,n. 文化；培养；,ˈkʌltʃə(r),She loves learning about different cultures.,她喜欢了解不同的文化。
C12,nature,n. 本性；自然；,ˈneɪtʃə(r),His nature is kind and patient.,他的本性是善良且有耐心的。
C12,silent,adj. 沉默的；无声的；,ˈsaɪlənt,The children were silent during the movie.,孩子们在看电影时很安静。
C13,crow,n. 乌鸦；,krəʊ,A crow sat on the tree branch.,一只乌鸦坐在树枝上。
C13,cliff,n. 悬崖；,klɪf,The hiker stood at the edge of the cliff.,徒步者站在悬崖边上。
C13,speed,"n. 速度；速率；
v. 加速；加快；",spiːd,The car's speed was too high on the wet road.,汽车在湿滑路面上的速度太快了。
C13,brain,n. 脑；脑力；智力；,breɪn,The brain controls our thoughts and movements.,大脑控制我们的思想和行动。
C13,food,n. 食物,fuːd,He eats healthy food every day.,他每天吃健康的食物。
C13,behavior,n. 举止；表现；,bɪˈheɪvjə(r),His behavior at the party was very polite.,他在派对上的举止非常礼貌。
C13,new,adj. 新的,njuː,He bought a new bike yesterday.,他昨天买了一辆新自行车。
C13,stress,"n. 压力；强调；
v. 着重；强调；",stres,He feels stress from too much work.,他因为工作太多而感到压力。
C13,tail,n. 尾巴；,teɪl,The dog wagged its tail happily.,狗开心地摇着尾巴。
C13,permanent,adj. 永久的；持久的；,ˈpɜːmənənt,He made a permanent change to his lifestyle.,他对自己的生活方式做出了永久的改变。
C13,location,n. 位置；地点；,ləʊˈkeɪʃ(ə)n,The location of the store is near the park.,这家商店的位置在公园附近。
C13,world,n. 世界,wɜːld,He loves the world and wants to travel everywhere.,他热爱这个世界，想要去所有地方旅行。
C13,personal,adj. 个人的；私人的；,ˈpɜːsən(ə)l,This is my personal notebook.,这是我的个人笔记本。
C13,attention,n. 注意；关注；照料；,əˈtenʃ(ə)n,The child needs attention when he does homework.,孩子做作业时需要被关注。
C13,name,"n. 姓名；名称；
v. 说出…的名字；命名；",neɪm,His name is Tom.,他的名字是汤姆。
C13,network,n. 网络；网路；网状物；,ˈnetwɜːk,The internet is a big network of computers.,互联网是一个庞大的计算机网络。
C13,frequency,n. 频率；,ˈfriːkwənsi,The frequency of the radio station is 101.5 MHz.,这个电台的频率是101.5兆赫。
C13,color,n. 颜色；,ˈkʌlə(r),The color of the sky is blue.,天空的颜色是蓝色的。
C13,self,n. 自我；本人；,self,He learned to love his self.,他学会了爱自己。
C13,tongue,n. 语言；舌头；,tʌŋ,He speaks Chinese as his mother tongue.,他把汉语作为母语。
C13,plant,"n. 植物；工厂；发电厂；装置；
v. 种植；栽培；",plɑːnt,The plant grows near the window.,这株植物长在窗边。
C13,snake,n. 蛇；,sneɪk,The snake crawled slowly through the grass.,蛇在草丛中缓慢地爬行。
C13,sky,n. 天空,skaɪ,The sky is blue today.,今天天空是蓝色的。
C13,partner,n. 合伙人；搭档；,ˈpɑːtnə(r),He is my business partner.,他是我的商业合伙人。
C13,contact,"n. 接触；联系；
v. 接触；联系；",ˈkɒntækt,The two balls made contact when they collided.,两个球在碰撞时发生了接触。
C13,protection,n. 保护,prəˈtekʃ(ə)n,The helmet gives protection to his head.,头盔保护他的头部。
C13,step,"n. 步；步骤；踏级；步伐；
v. 踩；踏；行走；",step,He took a small step forward.,他向前迈了一小步。
C13,injury,n. 损伤；伤害；,ˈɪndʒəri,He got an injury while playing soccer.,他在踢足球时受了伤。
C13,destruction,n. 毁灭；引起毁灭的根源；,dɪˈstrʌkʃ(ə)n,The storm caused the destruction of the village.,这场风暴摧毁了村庄。
C13,university,n. 大学,ˌjuːnɪˈvɜːsəti,He goes to university to study engineering.,他上大学学习工程。
C13,political,adj. 政治的；,pəˈlɪtɪk(ə)l,He is interested in political news.,他对政治新闻感兴趣。
C13,port,n. 港口,pɔːt,The ship arrived at the port at noon.,船在中午到达了港口。
C13,slave,n. 奴隶；,sleɪv,The slave worked in the fields every day.,这个奴隶每天在田地里劳作。
C13,slavery,n. 奴隶制；奴隶身份,ˈsleɪvəri,He learned about slavery in history class.,他在历史课上学到了奴隶制。
C13,taxation,n. 征税；税款；,tækˈseɪʃ(ə)n,The government introduced new taxation on sugar.,政府对糖征收了新的税。
C13,sugar,n. 糖；食糖；,ˈʃʊɡə(r),He put sugar in his tea.,他把糖放进茶里。
C13,tea,n. 茶；茶叶；茶水；,tiː,He drinks tea every morning.,他每天早上喝茶。
C13,transportation,n. 运输；运输系统；交通工具；,ˌtrænspɔːˈteɪʃ(ə)n,The city improved its transportation system.,这座城市改善了它的运输系统。
C13,night,n. 夜晚；晚上；,naɪt,The stars are bright at night.,夜晚星星很亮。
C14,industry,n. 行业；产业；工业；,ˈɪndəstri,He works in the tech industry.,他在科技行业工作。
C14,constant,adj. 恒定的；不变的；持续的；,ˈkɒnstənt,The temperature is constant in this room.,这个房间的温度是恒定的。
C14,direction,n. 方向；指导；指示；,dəˈrekʃ(ə)n,He asked for the direction to the station.,他问了去车站的方向。
C14,floor,n. 楼层；地面；地板；,flɔː(r),My room is on the third floor.,我的房间在三楼。
C14,predictable,adj. 可预见的；,prɪˈdɪktəb(ə)l,"The weather was predictable today, just like yesterday.",今天的天气和昨天一样，是可以预见的。
C14,bay,n. 海湾,beɪ,The boat is parked in the bay.,船停在海湾里。
C14,gate,n. 门；大门；,ɡeɪt,He closed the gate before it rained.,下雨前他关上了门。
C14,fuel,"n. 燃料；燃油；
v. 加剧；",ˈfjuːəl,The car needs more fuel to reach the next town.,这辆车需要更多的燃料才能到达下一个城镇。
C14,job,n. 工作,dʒɒb,He got a new job last week.,他上周找到了一份新工作。
C14,migration,n. 迁移；迁徙；转移；,maɪˈɡreɪʃ(ə)n,Birds begin migration in autumn.,鸟类在秋天开始迁徙。
C14,dance,"n. 舞蹈；
v. 跳舞；",dɑːns,She loves watching traditional dance at festivals.,她喜欢在节日里观看传统舞蹈。
C14,survival,n. 生存；存活；,səˈvaɪv(ə)l,The survival of the animals depends on the weather.,这些动物的生存取决于天气。
C14,cloud,n. 云朵；云层；,klaʊd,The cloud floats high in the sky.,云朵在天空中飘浮。
C14,festival,n. 节日,ˈfestɪv(ə)l,The town holds a music festival every summer.,这个小镇每年夏天都举办音乐节。
C14,comets,n.彗星,ˈkəʊmɪts,Comets fly through space and have long tails.,彗星在太空中飞行，有长长的尾巴。
C14,sky,n. 天空,skaɪ,The sky is blue today.,今天天空是蓝色的。
C14,instrument,n. 工具；仪器；乐器；,ˈɪnstrəmənt,A hammer is a useful instrument for building.,锤子是建造时有用的工具。
C14,thermometer,n. 温度计；体温表；,θəˈmɒmɪtə(r),He checked the thermometer to see the temperature.,他看了温度计来查看温度。
C14,storm,n. 暴风雨；雷暴雨；,stɔːm,The storm broke out at night.,暴风雨在夜间爆发了。
C14,telegraph,n. 电报；电报机；,ˈtelɪɡrɑːf,He sent a telegraph to his family.,他给家人发了一封电报。
C14,violin,n. 小提琴,ˌvaɪəˈlɪn,He plays the violin every evening.,他每天晚上拉小提琴。
C14,energy,n. 能源；能量；精力；,ˈenədʒi,China uses a lot of energy from coal.,中国使用大量煤炭能源。
C14,complex,"adj. 复杂的；
n. 综合楼（群）；",ˈkɒmpleks,The instructions are too complex for children.,这些说明对孩子来说太复杂了。
C14,opera,n. 歌剧,ˈɒpərə,He loves to watch opera on weekends.,他喜欢在周末看歌剧。
C14,disturbing,adj. 引起烦恼的；令人不安的； v. 打扰；妨碍；“disturb”的现在分词；,dɪˈstɜːbɪŋ,The movie showed a disturbing scene of violence.,这部电影展示了一个引起烦恼的暴力场景。
C14,clarinet,n. 单簧管；黑管；,ˌklærəˈnet,He plays the clarinet in the school band.,他在学校乐队里吹单簧管。
C14,diversity,n. 多样性；多样化；,daɪˈvɜːsəti,The school values diversity in its students.,学校重视学生的多样性。
C14,physics,n. 物理学,ˈfɪzɪks,He likes to study physics in school.,他喜欢在学校学习物理。
C14,Olympics,n. 奥林匹克运动会,əˈlɪmpɪks,He watches the olympics every four years.,他每四年观看奥运会。
C14,spring,"n. 春天；弹簧；泉；
v. 突然猛烈地移动；跳；",sprɪŋ,Flowers bloom in spring.,春天花朵盛开。
C14,tool,n. 工具；刀具；器具；,tuːl,A hammer is a useful tool for fixing things.,锤子是修理东西的有用工具。
C14,map,n. 地图,mæp,He uses a map to find the way.,他用地图找路。
C14,heavy,adj. 重的；沉重的；,ˈhevi,The box is heavy.,这个盒子很重。
C14,marble,n. 大理石；弹珠；,ˈmɑːb(ə)l,The statue is made of white marble.,这座雕像由白色大理石制成。
C14,light,"n. 光；灯；光线；
adj. 轻的；浅的；少量的；明亮的；
v. 点燃；照亮；",laɪt,The light from the window brightened the room.,窗户透进来的光让房间变亮了。
C14,camera,n. 摄像机；照相机；,ˈkæmrə,He took a photo with his camera.,他用他的摄像机拍了一张照片。
C14,medical,adj. 医疗的；医术的；,ˈmedɪk(ə)l,He works in a medical center.,他在一家医疗中心工作。
C14,eye,"n. 眼睛；
v. 注视；审视；",aɪ,He hurt his eye in the game.,他在比赛中伤了眼睛。
C14,wine,n. 酒；果酒；葡萄酒；,waɪn,He drinks wine with dinner.,他吃饭时喝葡萄酒。
C15,shelter,"n. 避难所；庇护所；
v. 庇护；遮蔽；",ˈʃeltə(r),The refugees found shelter in a small building.,难民们在一个小建筑里找到了避难所。
